ENS_ID,Gene_name,Chromosome
ENSG00000290825,DDX11L16,1
ENSG00000223972,DDX11L1,1
ENSG00000310526,WASH7P,1
ENSG00000227232,WASH7P,1
ENSG00000278267,MIR6859-1,1
ENSG00000243485,MIR1302-2HG,1
ENSG00000284332,MIR1302-2,1
ENSG00000237613,FAM138A,1
ENSG00000308361,ENSG00000308361,1
ENSG00000290826,ENSG00000290826,1
ENSG00000268020,OR4G4P,1
ENSG00000240361,OR4G11P,1
ENSG00000186092,OR4F5,1
ENSG00000241860,ENSG00000241860,1
ENSG00000239945,ENSG00000239945,1
ENSG00000308314,ENSG00000308314,1
ENSG00000233750,CICP27,1
ENSG00000308579,ENSG00000308579,1
ENSG00000268903,ENSG00000268903,1
ENSG00000269981,ENSG00000269981,1
ENSG00000239906,ENSG00000239906,1
ENSG00000310528,ENSG00000310528,1
ENSG00000222623,RNU6-1100P,1
ENSG00000241599,ENSG00000241599,1
ENSG00000308415,DDX11L2,1
ENSG00000310527,WASH9P,1
ENSG00000279928,DDX11L17,1
ENSG00000279457,WASH9P,1
ENSG00000273874,MIR6859-2,1
ENSG00000308625,ENSG00000308625,1
ENSG00000308544,ENSG00000308544,1
ENSG00000292994,ENSG00000292994,1
ENSG00000228463,RPL23AP21,1
ENSG00000306775,ENSG00000306775,1
ENSG00000286448,ENSG00000286448,1
ENSG00000236679,RPL23AP24,1
ENSG00000236601,ENSG00000236601,1
ENSG00000290385,ENSG00000290385,1
ENSG00000269732,WBP1LP7,1
ENSG00000284733,OR4F29,1
ENSG00000237094,ENSG00000237094,1
ENSG00000233653,CICP7,1
ENSG00000250575,ENSG00000250575,1
ENSG00000278757,U6,1
ENSG00000293331,ENSG00000293331,1
ENSG00000225880,LINC00115,1
ENSG00000235146,ENSG00000235146,1
ENSG00000225972,MTND1P23,1
ENSG00000225630,MTND2P28,1
ENSG00000237973,MTCO1P12,1
ENSG00000278791,ENSG00000278791,1
ENSG00000229344,MTCO2P12,1
ENSG00000240409,MTATP8P1,1
ENSG00000248527,MTATP6P1,1
ENSG00000198744,MTCO3P12,1
ENSG00000268663,WBP1LP6,1
ENSG00000284662,OR4F16,1
ENSG00000230021,ENSG00000230021,1
ENSG00000229376,CICP3,1
ENSG00000223181,RNU6-1199P,1
ENSG00000229905,ENSG00000229905,1
ENSG00000228327,RP11-206L10.2,1
ENSG00000237491,LINC01409,1
ENSG00000285268,ENSG00000285268,1
ENSG00000230092,ENSG00000230092,1
ENSG00000177757,FAM87B,1
ENSG00000228794,LINC01128,1
ENSG00000297178,ENSG00000297178,1
ENSG00000297224,ENSG00000297224,1
ENSG00000230368,FAM41C,1
ENSG00000234711,TUBB8P11,1
ENSG00000283040,ENSG00000283040,1
ENSG00000296088,ENSG00000296088,1
ENSG00000272438,ENSG00000272438,1
ENSG00000298603,ENSG00000298603,1
ENSG00000223764,LINC02593,1
ENSG00000187634,SAMD11,1
ENSG00000188976,NOC2L,1
ENSG00000187961,KLHL17,1
ENSG00000187583,PLEKHN1,1
ENSG00000187642,PERM1,1
ENSG00000303599,ENSG00000303599,1
ENSG00000272512,ENSG00000272512,1
ENSG00000188290,HES4,1
ENSG00000303623,ENSG00000303623,1
ENSG00000187608,ISG15,1
ENSG00000303614,ENSG00000303614,1
ENSG00000231702,ENSG00000231702,1
ENSG00000224969,ENSG00000224969,1
ENSG00000188157,AGRN,1
ENSG00000242590,ENSG00000242590,1
ENSG00000291156,LOC100288175,1
ENSG00000273443,ENSG00000273443,1
ENSG00000217801,PTPN11BP,1
ENSG00000304119,ENSG00000304119,1
ENSG00000304169,ENSG00000304169,1
ENSG00000237330,RNF223,1
ENSG00000131591,C1orf159,1
ENSG00000285812,ENSG00000285812,1
ENSG00000299943,ENSG00000299943,1
ENSG00000223823,LINC01342,1
ENSG00000304965,ENSG00000304965,1
ENSG00000207730,MIR200B,1
ENSG00000207607,MIR200A,1
ENSG00000198976,MIR429,1
ENSG00000272141,ENSG00000272141,1
ENSG00000205231,TTLL10-AS1,1
ENSG00000162571,TTLL10,1
ENSG00000186891,TNFRSF18,1
ENSG00000186827,TNFRSF4,1
ENSG00000078808,SDF4,1
ENSG00000176022,B3GALT6,1
ENSG00000184163,C1QTNF12,1
ENSG00000260179,ENSG00000260179,1
ENSG00000160087,UBE2J2,1
ENSG00000230415,LINC01786,1
ENSG00000162572,SCNN1D,1
ENSG00000131584,ACAP3,1
ENSG00000278073,MIR6726,1
ENSG00000169972,PUSL1,1
ENSG00000127054,INTS11,1
ENSG00000283712,MIR6727,1
ENSG00000240731,ENSG00000240731,1
ENSG00000224051,CPTP,1
ENSG00000169962,TAS1R3,1
ENSG00000107404,DVL1,1
ENSG00000284372,MIR6808,1
ENSG00000304860,ENSG00000304860,1
ENSG00000162576,MXRA8,1
ENSG00000175756,AURKAIP1,1
ENSG00000223663,NDUFB4P8,1
ENSG00000221978,CCNL2,1
ENSG00000224870,MRPL20-AS1,1
ENSG00000242485,MRPL20,1
ENSG00000264293,RN7SL657P,1
ENSG00000301639,ENSG00000301639,1
ENSG00000272455,MRPL20-DT,1
ENSG00000235098,ANKRD65,1
ENSG00000225905,ANKRD65-AS1,1
ENSG00000205116,TMEM88B,1
ENSG00000225285,LINC01770,1
ENSG00000179403,VWA1,1
ENSG00000215915,ATAD3C,1
ENSG00000160072,ATAD3B,1
ENSG00000290916,ENSG00000290916,1
ENSG00000284740,ENSG00000284740,1
ENSG00000197785,ATAD3A,1
ENSG00000205090,TMEM240,1
ENSG00000299413,ENSG00000299413,1
ENSG00000160075,SSU72,1
ENSG00000215014,SSU72-AS1,1
ENSG00000274481,ENSG00000274481,1
ENSG00000228594,FNDC10,1
ENSG00000286989,ENSG00000286989,1
ENSG00000272106,ENSG00000272106,1
ENSG00000197530,MIB2,1
ENSG00000189409,MMP23B,1
ENSG00000248333,CDK11B,1
ENSG00000272004,ENSG00000272004,1
ENSG00000189339,SLC35E2B,1
ENSG00000293187,ENSG00000293187,1
ENSG00000269737,ENSG00000269737,1
ENSG00000310190,ENSG00000310190,1
ENSG00000310238,ENSG00000310238,1
ENSG00000215914,MMP23A,1
ENSG00000008128,CDK11A,1
ENSG00000268575,ENSG00000268575,1
ENSG00000293188,ENSG00000293188,1
ENSG00000290854,ENSG00000290854,1
ENSG00000215790,SLC35E2A,1
ENSG00000227775,ENSG00000227775,1
ENSG00000008130,NADK,1
ENSG00000302550,ENSG00000302550,1
ENSG00000078369,GNB1,1
ENSG00000231050,GNB1-DT,1
ENSG00000303984,ENSG00000303984,1
ENSG00000294910,ENSG00000294910,1
ENSG00000306476,ENSG00000306476,1
ENSG00000169885,CALML6,1
ENSG00000178821,TMEM52,1
ENSG00000142609,CFAP74,1
ENSG00000233542,ENSG00000233542,1
ENSG00000187730,GABRD,1
ENSG00000304958,ENSG00000304958,1
ENSG00000226969,PRKCZ-DT,1
ENSG00000067606,PRKCZ,1
ENSG00000308181,ENSG00000308181,1
ENSG00000271806,ENSG00000271806,1
ENSG00000182873,PRKCZ-AS1,1
ENSG00000162585,FAAP20,1
ENSG00000304038,ENSG00000304038,1
ENSG00000234396,ENSG00000234396,1
ENSG00000304143,ENSG00000304143,1
ENSG00000157933,SKI,1
ENSG00000295493,ENSG00000295493,1
ENSG00000287356,LOC124903824,1
ENSG00000116151,MORN1,1
